number;scheduledTime;actualTime;status
Malaysia+MH 5659;1634188500.0;1634189760.0;Departed
Virgin Atlantic+VS 5506;1634188500.0;1634189760.0;Departed
KLM+KL 1315;1634189100.0;1634189940.0;Departed
Delta Air Lines+DL 9539;1634189100.0;1634189940.0;Departed
Xiamen+MF 9905;1634189100.0;1634189940.0;Departed
China Eastern+MU 1571;1634189100.0;1634189940.0;Departed
Aeroflot+SU 3457;1634189100.0;1634189940.0;Departed
Virgin Atlantic+VS 5502;1634189100.0;1634189940.0;Departed
KLM+KL 1905;1634189100.0;1634190180.0;Departed
Delta Air Lines+DL 9224;1634189100.0;1634190180.0;Departed
JU+JU 7637;1634189100.0;1634190180.0;Departed
KLM+KL 1641;1634189700.0;1634190180.0;Departed
Delta Air Lines+DL 9339;1634189700.0;1634190180.0;Departed
Kenya Airways+KQ 1641;1634189700.0;1634190180.0;Departed
Xiamen+MF 9349;1634189700.0;1634190180.0;Departed
China Eastern+MU 1821;1634189700.0;1634190180.0;Departed
KLM+KL 1555;1634189700.0;1634190180.0;Departed
Delta Air Lines+DL 9541;1634189700.0;1634190180.0;Departed
Kenya Airways+KQ 1555;1634189700.0;1634190180.0;Departed
Xiamen+MF 9623;1634189700.0;1634190180.0;Departed
China Eastern+MU 1829;1634189700.0;1634190180.0;Departed
KLM+KL 1601;1634189700.0;1634190240.0;Departed
China Southern+CZ 7641;1634189700.0;1634190240.0;Departed
Delta Air Lines+DL 9579;1634189700.0;1634190240.0;Departed
Garuda Indonesia+GA 9086;1634189700.0;1634190240.0;Departed
Kenya Airways+KQ 1601;1634189700.0;1634190240.0;Departed
Xiamen+MF 9347;1634189700.0;1634190240.0;Departed
Malaysia+MH 5655;1634189700.0;1634190240.0;Departed
