"";"airline";"number";"scheduledTime";"actualTime";"status";"arrivalAirport";"aircraft";"diffMins"
"88";"Ryanair";"FR 9480";2021-12-15 13:45:00;2021-12-15 13:59:00;"Departed";"EDDK";"Airbus A320";14
"89";"Ryanair";"FR 9737";2021-12-15 13:25:00;2021-12-15 13:43:00;"Departed";"EIDW";"W38";18
"90";"Ryanair";"FR 975";2021-12-15 12:55:00;2021-12-15 13:05:00;"Departed";"UKBB";"Airbus A320";10
"91";"Ryanair";"FR 9126";2021-12-15 12:20:00;2021-12-15 12:25:00;"Departed";"EBCI";"Airbus A320";5
"92";"Ryanair";"FR 5567";2021-12-15 12:10:00;2021-12-15 12:45:00;"Departed";"EPMO";"Airbus A320";35
"93";"Ryanair";"FR 4685";2021-12-15 11:25:00;2021-12-15 11:33:00;"Departed";"ESSA";"Boeing 737-800";8
"94";"Ryanair";"FR 4789";2021-12-15 10:55:00;2021-12-15 11:04:00;"Departed";"GCTS";"Airbus A320";9
"95";"Ryanair";"FR 9482";2021-12-15 09:25:00;2021-12-15 09:29:00;"Departed";"LIBD";"Airbus A320";4
"96";"Ryanair";"FR 4767";2021-12-15 06:30:00;2021-12-15 06:23:00;"Departed";"LIPE";"Airbus A320";-7
"97";"Ryanair";"FR 7275";2021-12-15 06:00:00;2021-12-15 06:06:00;"Departed";"LPPR";"Airbus A320";6
"98";"Ryanair";"FR 500";2021-12-15 05:10:00;2021-12-15 05:12:00;"Departed";"LEPA";"Airbus A320";2
"99";"Ryanair";"FR 7161";2021-12-15 05:00:00;2021-12-15 05:01:00;"Departed";"LLBG";"Airbus A320";1
"100";"Ryanair";"FR 7191";2021-12-14 16:40:00;2021-12-14 16:48:00;"Departed";"LIRF";"Airbus A320";8
"101";"Ryanair";"FR 9768";2021-12-14 13:55:00;2021-12-14 13:55:00;"Departed";"LEZG";"Airbus A320";0
"102";"Ryanair";"FR 7291";2021-12-14 13:40:00;2021-12-14 13:49:00;"Departed";"LPPT";"Airbus A320";9
"103";"Ryanair";"FR 9480";2021-12-14 13:10:00;2021-12-14 13:16:00;"Departed";"EDDK";"Airbus A320";6
"104";"Ryanair";"FR 4353";2021-12-14 11:25:00;2021-12-14 11:23:00;"Departed";"EGGP";"Airbus A320";-2
"105";"Ryanair";"FR 5734";2021-12-14 11:25:00;2021-12-14 11:31:00;"Departed";"OJAI";"Airbus A320";6
"106";"Ryanair";"FR 9737";2021-12-14 11:00:00;2021-12-14 11:00:00;"Departed";"EIDW";"Airbus A320";0
"107";"Ryanair";"FR 182";2021-12-14 10:55:00;2021-12-14 11:21:00;"Departed";"LBSF";"Airbus A320";26
"108";"Ryanair";"FR 975";2021-12-14 10:15:00;2021-12-14 10:26:00;"Departed";"UKBB";"Airbus A320";11
"109";"Ryanair";"FR 674";2021-12-14 07:10:00;2021-12-14 07:08:00;"Departed";"LYNI";"Airbus A320";-2
"110";"Ryanair";"FR 7320";2021-12-14 05:45:00;2021-12-14 05:48:00;"Departed";"EETN";"Airbus A320";3
"111";"Ryanair";"FR 7344";2021-12-14 05:45:00;2021-12-14 05:45:00;"Departed";"LIRF";"Airbus A320";0
"112";"Ryanair";"FR 7299";2021-12-14 05:30:00;2021-12-14 05:25:00;"Departed";"LICC";"Airbus A320";-5
"113";"Ryanair";"FR 7340";2021-12-14 05:25:00;2021-12-14 05:21:00;"Departed";"LEMD";"Airbus A320";-4
"114";"Ryanair";"FR 7350";2021-12-14 05:20:00;2021-12-14 05:19:00;"Departed";"LEBL";"Airbus A320";-1
"115";"Ryanair";"FR 500";2021-12-14 05:05:00;2021-12-14 05:14:00;"Departed";"LEPA";"Airbus A320";9
"116";"Ryanair";"FR 180";2021-12-13 16:55:00;2021-12-13 17:03:00;"Departed";"LGTS";"Airbus A320";8
"117";"Ryanair";"FR 7364";2021-12-13 16:50:00;2021-12-13 17:06:00;"Departed";"EGSS";"Airbus A320";16
"118";"Ryanair";"FR 182";2021-12-13 14:00:00;2021-12-13 14:00:00;"Departed";"LBSF";"Airbus A320";0
"119";"Ryanair";"FR 1626";2021-12-13 13:35:00;2021-12-13 13:39:00;"Departed";"OJAQ";"Airbus A320";4
"120";"Ryanair";"FR 9126";2021-12-13 12:25:00;2021-12-13 12:30:00;"Departed";"EBCI";"Airbus A320";5
"121";"Ryanair";"FR 5567";2021-12-13 12:15:00;2021-12-13 12:21:00;"Departed";"EPMO";"W38";6
"122";"Ryanair";"FR 4385";2021-12-13 11:10:00;2021-12-13 11:13:00;"Departed";"EDLW";"Airbus A320";3
"123";"Ryanair";"FR 4767";2021-12-13 11:05:00;2021-12-13 11:52:00;"Departed";"LIPE";"W38";47
"124";"Ryanair";"FR 7293";2021-12-13 11:00:00;2021-12-13 11:04:00;"Departed";"EVRA";"Airbus A320";4
"125";"Ryanair";"FR 7291";2021-12-13 10:50:00;2021-12-13 10:57:00;"Departed";"LPPT";"Airbus A320";7
"126";"Ryanair";"FR 7360";2021-12-13 09:35:00;2021-12-13 09:43:00;"Departed";"LIME";"Airbus A320";8
"127";"Ryanair";"FR 5757";2021-12-13 06:35:00;2021-12-13 06:42:00;"Departed";"LZKZ";"Airbus A320";7
"128";"Ryanair";"FR 975";2021-12-13 06:30:00;2021-12-13 06:45:00;"Departed";"UKBB";"Airbus A320";15
"129";"Ryanair";"FR 7289";2021-12-13 05:50:00;2021-12-13 05:56:00;"Departed";"LEXJ";"W38";6
"130";"Ryanair";"FR 7301";2021-12-13 05:45:00;2021-12-13 05:55:00;"Departed";"LMML";"Airbus A320";10
"131";"Ryanair";"FR 7344";2021-12-13 05:45:00;2021-12-13 05:32:00;"Departed";"LIRF";"Airbus A320";-13
"132";"Ryanair";"FR 7350";2021-12-13 05:05:00;2021-12-13 05:11:00;"Departed";"LEBL";"Airbus A320";6
"133";"Ryanair";"FR 7161";2021-12-13 05:00:00;2021-12-13 05:09:00;"Departed";"LLBG";"Airbus A320";9
"134";"Ryanair";"FR 7364";2021-12-12 16:55:00;2021-12-12 17:21:00;"Departed";"EGSS";"Airbus A320";26
"135";"Ryanair";"FR 7320";2021-12-12 16:25:00;2021-12-12 16:50:00;"Departed";"EETN";"Airbus A320";25
"136";"Ryanair";"FR 7350";2021-12-12 16:05:00;2021-12-12 16:07:00;"Departed";"LEBL";"Airbus A320";2
"137";"Ryanair";"FR 7350";2021-12-12 16:05:00;2021-12-12 16:07:00;"Departed";"LEBL";"Airbus A320";2
"138";"Ryanair";"FR 7350";2021-12-12 16:05:00;2021-12-12 16:07:00;"Departed";"LEBL";"Airbus A320";2
"139";"Ryanair";"FR 7350";2021-12-12 16:05:00;2021-12-12 16:07:00;"Departed";"LEBL";"Airbus A320";2
"140";"Ryanair";"FR 7273";2021-12-12 15:50:00;2021-12-12 15:53:00;"Departed";"EGPH";"W38";3
"141";"Ryanair";"FR 7273";2021-12-12 15:50:00;2021-12-12 15:53:00;"Departed";"EGPH";"W38";3
"142";"Ryanair";"FR 7273";2021-12-12 15:50:00;2021-12-12 15:53:00;"Departed";"EGPH";"W38";3
"143";"Ryanair";"FR 7273";2021-12-12 15:50:00;2021-12-12 15:53:00;"Departed";"EGPH";"W38";3
"144";"Ryanair";"FR 1312";2021-11-25 17:00:00;2021-11-25 17:00:00;"Departed";"LIRF";"Airbus A320";0
"145";"Ryanair";"FR 7364";2021-11-25 16:55:00;2021-11-25 17:12:00;"Departed";"EGSS";"Airbus A320";17
"146";"Ryanair";"FR 7273";2021-11-25 15:20:00;2021-11-25 15:27:00;"Departed";"EGPH";"Airbus A320";7
"147";"Ryanair";"FR 2364";2021-11-25 13:55:00;2021-11-25 13:55:00;"Departed";"LPFR";"Airbus A321 (sharklets)";0
"148";"Ryanair";"FR 7291";2021-11-25 13:40:00;2021-11-25 13:50:00;"Departed";"LPPT";"Airbus A320";10
"149";"Ryanair";"FR 9480";2021-11-25 13:10:00;2021-11-25 13:16:00;"Departed";"EDDK";"Airbus A320";6
"150";"Ryanair";"FR 5567";2021-11-25 12:45:00;2021-11-25 13:21:00;"Departed";"EPMO";"W38";36
"151";"Ryanair";"FR 182";2021-11-25 12:40:00;2021-11-25 12:46:00;"Departed";"LBSF";"Airbus A320";6
"152";"Ryanair";"FR 9126";2021-11-25 12:20:00;2021-11-25 12:26:00;"Departed";"EBCI";"Airbus A320";6
"153";"Ryanair";"FR 7299";2021-11-25 11:40:00;2021-11-25 11:53:00;"Departed";"LICC";"Airbus A320";13
"154";"Ryanair";"FR 975";2021-11-25 10:50:00;2021-11-25 11:01:00;"Departed";"UKBB";"Airbus A320";11
"155";"Ryanair";"FR 7344";2021-11-25 05:45:00;2021-11-25 05:44:00;"Departed";"LIRF";"Airbus A320";-1
"156";"Ryanair";"FR 214";2021-11-25 05:25:00;2021-11-25 05:49:00;"Departed";"LIMC";"Airbus A320";24
"157";"Ryanair";"FR 7350";2021-11-25 05:20:00;2021-11-25 05:30:00;"Departed";"LEBL";"Airbus A320";10
"158";"Ryanair";"FR 7161";2021-11-25 04:45:00;2021-11-25 05:20:00;"Departed";"LLBG";"Airbus A320";35
"159";"Ryanair";"FR 214";2021-11-24 18:10:00;2021-11-24 18:20:00;"Departed";"LIMC";"Airbus A320";10
"160";"Ryanair";"FR 180";2021-11-24 17:50:00;2021-11-24 17:56:00;"Departed";"LGTS";"Airbus A320";6
"161";"Ryanair";"FR 1312";2021-11-24 17:50:00;2021-11-24 17:49:00;"Departed";"LIRF";"Airbus A320";-1
"162";"Ryanair";"FR 7364";2021-11-24 16:55:00;2021-11-24 17:06:00;"Departed";"EGSS";"Airbus A320";11
"163";"Ryanair";"FR 316";2021-11-24 16:00:00;2021-11-24 16:00:00;"Departed";"LEBL";"W38";0
"164";"Ryanair";"FR 7301";2021-11-24 14:45:00;2021-11-24 14:50:00;"Departed";"LMML";"Airbus A320";5
"165";"Ryanair";"FR 3797";2021-11-24 13:55:00;2021-11-24 13:55:00;"Departed";"EGBB";"Airbus A321 (sharklets)";0
"166";"Ryanair";"FR 7291";2021-11-24 13:55:00;2021-11-24 14:10:00;"Departed";"LPPT";"Airbus A320";15
"167";"Ryanair";"FR 5693";2021-11-24 13:50:00;2021-11-24 13:56:00;"Departed";"EHEH";"Airbus A320";6
"168";"Ryanair";"FR 9480";2021-11-24 13:45:00;2021-11-24 14:03:00;"Departed";"EDDK";"Airbus A320";18
"169";"Ryanair";"FR 975";2021-11-24 12:55:00;2021-11-24 13:09:00;"Departed";"UKBB";"Airbus A320";14
"170";"Ryanair";"FR 9126";2021-11-24 12:20:00;2021-11-24 12:24:00;"Departed";"EBCI";"Airbus A320";4
"171";"Ryanair";"FR 5567";2021-11-24 12:10:00;2021-11-24 12:15:00;"Departed";"EPMO";"Airbus A320";5
"172";"Ryanair";"FR 4685";2021-11-24 11:25:00;2021-11-24 11:42:00;"Departed";"ESSA";"W38";17
"173";"Ryanair";"FR 2570";2021-11-24 11:25:00;2021-11-24 11:07:00;"Departed";"GCLP";"Airbus A320";-18
"174";"Ryanair";"FR 4767";2021-11-24 06:30:00;2021-11-24 06:31:00;"Departed";"LIPE";"Airbus A320";1
"175";"Ryanair";"FR 4767";2021-11-24 06:30:00;2021-11-24 06:52:00;"Departed";"LIPE";"Airbus A320";22
"176";"Ryanair";"FR 7275";2021-11-24 06:00:00;2021-11-24 06:05:00;"Departed";"LPPR";"Airbus A320";5
"177";"Ryanair";"FR 320";2021-11-24 05:50:00;2021-11-24 05:36:00;"Departed";"EKCH";"Airbus A320";-14
"178";"Ryanair";"FR 7350";2021-11-24 05:20:00;2021-11-24 05:46:00;"Departed";"LEBL";"Airbus A320";26
"179";"Ryanair";"FR 7161";2021-11-24 05:00:00;2021-11-24 05:14:00;"Departed";"LLBG";"Airbus A320";14
"180";"Ryanair";"FR 214";2021-11-23 17:10:00;2021-11-23 17:17:00;"Departed";"LIMC";"Airbus A320";7
"181";"Ryanair";"FR 7364";2021-11-23 16:55:00;2021-11-23 17:00:00;"Departed";"EGSS";"Airbus A320";5
"182";"Ryanair";"FR 180";2021-11-23 16:55:00;2021-11-23 16:55:00;"Departed";"LGTS";"Airbus A320";0
"183";"Ryanair";"FR 7191";2021-11-23 16:40:00;2021-11-23 16:46:00;"Departed";"LIRF";"Airbus A320";6
"184";"Ryanair";"FR 7273";2021-11-23 15:50:00;2021-11-23 15:50:00;"Departed";"EGPH";"Airbus A320";0
"185";"Ryanair";"FR 9768";2021-11-23 13:55:00;2021-11-23 14:04:00;"Departed";"LEZG";"Airbus A320";9
"186";"Ryanair";"FR 7291";2021-11-23 13:40:00;2021-11-23 13:56:00;"Departed";"LPPT";"Airbus A320";16
"187";"Ryanair";"FR 9480";2021-11-23 13:10:00;2021-11-23 13:16:00;"Departed";"EDDK";"Airbus A320";6
"188";"Ryanair";"FR 4353";2021-11-23 11:25:00;2021-11-23 11:29:00;"Departed";"EGGP";"Airbus A320";4
"189";"Ryanair";"FR 975";2021-11-23 10:15:00;2021-11-23 10:18:00;"Departed";"UKBB";"Airbus A320";3
"190";"Ryanair";"FR 320";2021-11-23 05:50:00;2021-11-23 05:50:00;"Departed";"EKCH";"Airbus A320";0
"191";"Ryanair";"FR 7344";2021-11-23 05:45:00;2021-11-23 05:32:00;"Departed";"LIRF";"Airbus A320";-13
"192";"Ryanair";"FR 7299";2021-11-23 05:30:00;2021-11-23 05:54:00;"Departed";"LICC";"Airbus A320";24
"193";"Ryanair";"FR 7350";2021-11-23 05:20:00;2021-11-23 05:22:00;"Departed";"LEBL";"Airbus A320";2
"194";"Ryanair";"FR 7161";2021-11-23 04:55:00;2021-11-23 05:10:00;"Departed";"LLBG";"Airbus A320";15
"195";"Ryanair";"FR 214";2021-11-22 17:40:00;2021-11-22 17:50:00;"Departed";"LIMC";"Airbus A320";10
"196";"Ryanair";"FR 180";2021-11-22 16:55:00;2021-11-22 17:03:00;"Departed";"LGTS";"Airbus A320";8
"197";"Ryanair";"FR 7364";2021-11-22 16:50:00;2021-11-22 16:59:00;"Departed";"EGSS";"W38";9
"198";"Ryanair";"FR 3809";2021-11-22 16:15:00;2021-11-22 16:20:00;"Departed";"LQBK";"Airbus A320";5
"199";"Ryanair";"FR 7366";2021-11-22 15:05:00;2021-11-22 15:14:00;"Departed";"EIDW";"Airbus A320";9
"200";"Ryanair";"FR 7275";2021-11-22 14:05:00;2021-11-22 14:10:00;"Departed";"LPPR";"Airbus A320";5
"201";"Ryanair";"FR 182";2021-11-22 13:45:00;2021-11-22 14:07:00;"Departed";"LBSF";"Airbus A320";22
"202";"Ryanair";"FR 9480";2021-11-22 13:10:00;2021-11-22 13:16:00;"Departed";"EDDK";"Airbus A320";6
"203";"Ryanair";"FR 5693";2021-11-22 11:30:00;2021-11-22 11:45:00;"Departed";"EHEH";"Airbus A320";15
"204";"Ryanair";"FR 4767";2021-11-22 11:05:00;2021-11-22 11:49:00;"Departed";"LIPE";"W38";44
